============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 2500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000319   3.9128E+04  9.4438E+02  1.2888E+03
0000320   4.0051E+04  4.2140E+03  4.2308E+03
0000321   3.7638E+04 -1.1228E+03 -6.5032E+03
0000322   3.6342E+04 -8.6359E+03 -3.2203E+03
0000323   3.7394E+04 -1.9178E+03  1.5917E+03
0000324   3.8873E+04 -3.8096E+03  5.0527E+03
0000325   3.7647E+04 -1.2713E+04 -4.0362E+03
0000326   3.5210E+04  2.7849E+03  3.2983E+03
0000327   4.0575E+04 -1.2985E+04 -1.0151E+03
0000328   3.9056E+04  7.6805E+03 -1.1397E+04
0000329   4.0706E+04  2.1447E+03  1.8378E+03
0000330   3.5808E+04  1.3051E+03  1.0696E+03
0000331   3.9137E+04  1.2779E+03 -3.4841E+03
0000332   3.5674E+04 -8.6678E+03  3.0458E+03
0000333   3.3392E+04 -7.9213E+03  4.5790E+03
0000334   4.0809E+04  9.5135E+02  4.2053E+03
0000335   4.0865E+04 -2.5602E+02  6.9266E+03
0000336   4.0680E+04  4.4063E+03 -5.2346E+03
0000337   3.7699E+04  4.2815E+03 -1.1241E+04
0000338   3.1541E+04 -3.6534E+02  6.0198E+03
0000339   3.8815E+04  5.8209E+03  2.1072E+03
0000340   3.9604E+04 -7.5698E+02  4.0340E+03
0000341   3.8271E+04  4.3741E+03  6.4310E+02
0000342   4.0609E+04  3.6637E+03  7.5964E+03
0000343   3.8741E+04  9.6240E+02 -5.1660E+02
0000344   3.7243E+04  3.0172E+03 -2.1722E+02
0000345   3.8951E+04  5.7584E+03 -4.7680E+03
0000346   4.1938E+04  1.8052E+03 -3.8822E+03
0000347   3.5599E+04 -9.0742E+02 -7.5789E+01
0000348   3.1675E+04 -1.1121E+03  6.4968E+03
0000349   3.8513E+04  5.7831E+03 -4.9306E+03
0000350   3.7524E+04 -1.1991E+04  8.0769E+02
0000351   4.2228E+04 -4.0904E+03  1.0003E+04
0000352   3.8359E+04  1.5150E+03  5.1483E+02
0000353   3.1158E+04  4.5781E+03  9.2475E+03
0000354   3.7876E+04  4.7547E+03  3.3842E+03
0000355   3.8868E+04  2.4371E+02  2.6267E+03
0000356   3.8395E+04  7.5430E+03 -4.1087E+02
0000357   3.4407E+04  1.7361E+04 -2.7287E+03
0000358   3.7977E+04 -1.1065E+04 -2.8916E+03
0000359   3.3535E+04  6.1455E+03 -1.2160E+03
0000360   3.8951E+04  4.5525E+02 -9.3704E+03
0000361   3.4248E+04 -5.3824E+03  8.9046E+03
0000362   3.4160E+04 -5.4796E+03 -3.4450E+03
0000363   4.0073E+04  1.8557E+03  2.1612E+03
0000364   3.9127E+04  5.9379E+03 -2.5853E+03
0000365   3.7471E+04 -1.2270E+03 -1.0386E+04
0000366   3.9234E+04 -2.0235E+03 -2.0635E+03
0000367   3.8695E+04 -5.2052E+03  3.3991E+03
0000368   4.1752E+04  3.2933E+03  2.6789E+03
0000369   4.0488E+04  6.7614E+03  3.5932E+01
0000370   4.0943E+04  3.0361E+03  4.2061E+02
0000371   3.5526E+04  1.8437E+03 -1.1948E+03
0000372   1.5549E+04  1.0973E+04  7.7111E+03
0000373   4.0555E+04 -5.9843E+03  7.2702E+03
0000374   4.0718E+04 -3.1827E+03  5.8810E+03
0000375   3.5175E+04  1.1810E+04  5.3124E+03
0000376   3.6861E+04 -7.4333E+03 -4.6159E+03
0000377   4.2388E+04 -6.7994E+03 -3.5551E+03
0000378   3.9475E+04 -5.6662E+03  3.6058E+03
0000379   3.5019E+04  1.7978E+03  4.5215E+03
0000380   3.7757E+04 -3.5401E+02  6.4148E+02
0000381   4.2466E+04 -3.7350E+02  2.5985E+03
0000382   3.8183E+04  4.0790E+03  2.0523E+03
0000383   3.3750E+04 -6.2585E+03 -3.2210E+03
0000384   3.8680E+04  6.0804E+03 -2.0540E+03
0000385   2.5937E+04  6.7636E+03  4.4661E+03
0000386   4.1902E+04  3.2430E+02 -4.6010E+03
0000387   3.2703E+04 -1.8070E+04  7.4607E+03
0000388   4.0923E+04 -2.7973E+03 -4.6599E+03
0000389   3.3812E+04 -5.6703E+03  3.5644E+03
0000390   3.5434E+04 -1.0565E+02  1.0098E+04
0000391   3.1409E+04  9.0973E+03 -1.1264E+02
0000392   4.1402E+04 -2.9590E+02 -3.5275E+03
0000393   3.5014E+04 -4.4453E+03 -7.7926E+03
0000394   2.8866E+04  1.3151E+03 -1.5009E+03
0000395   3.5495E+04 -4.0285E+03 -6.7218E+03
0000396   4.1820E+04  5.0381E+03 -1.4346E+03
0000397   3.4659E+04  3.4397E+03  1.2948E+03
0000398   4.0914E+04 -5.9945E+02  4.7913E+03
0000399   4.1810E+04 -1.9428E+03  4.3130E+03
0000400   3.5248E+04  4.7933E+03 -4.7098E+03
0000401   3.6801E+04 -9.1032E+03 -2.0126E+03
0000402   3.0174E+04 -1.5498E+03 -1.8150E+04
0000403   3.3279E+04  1.1535E+04 -7.2216E+03
0000404   4.2178E+04 -7.0909E+03 -5.7335E+03
0000405   4.1864E+04  1.1270E+03  5.5427E+02
0000406   4.0650E+04 -7.8594E+03  8.1610E+03
0000407   4.2367E+04  3.2002E+03  2.5787E+03
0000408   3.5330E+04  2.1822E+03  1.1793E+04
0000409   3.9132E+04  5.0172E+03  2.6791E+03
0000410   4.1602E+04 -2.0439E+03  4.0148E+03
0000411   3.3974E+04 -1.2816E+03  2.6781E+03
0000412   4.1539E+04  3.1575E+03  5.3040E+03
0000413   4.0306E+04  8.4497E+03  6.1956E+02
0000414   3.8824E+04 -3.1157E+03 -4.4375E+01
0000415   4.2784E+04 -3.5337E+03 -5.6094E+03
0000416   3.3218E+04 -5.6187E+02 -3.5606E+03
0000417   3.9006E+04  2.9557E+03  7.1094E+03
0000418   4.1413E+04  5.1933E+03 -2.9139E+03
0000419   3.9358E+04 -1.1957E+02  3.0032E+03
0000420   4.1875E+04  4.3433E+03  6.3336E+03
0000421   3.8689E+04 -4.5244E+03  2.6036E+02
0000422   3.7813E+04 -6.0406E+03 -5.4248E+03
0000423   3.9469E+04 -3.3036E+03  9.7247E+03
0000424   3.8681E+04  5.9992E+03  3.2597E+03
0000425   3.2735E+04  1.2794E+04 -3.2819E+03
0000426   4.2210E+04  3.3896E+03 -4.1828E+03
0000427   3.4420E+04  1.0849E+03 -8.8715E+03
0000428   3.9109E+04 -5.4509E+03  5.5421E+03
